cluster_FullData,cluster_SocioDemo
clust_0,clust_0
clust_5,clust_0
clust_7,clust_0
clust_5,clust_4
clust_0,clust_6
clust_1,clust_1
clust_2,clust_3
clust_7,clust_5
clust_2,clust_2
clust_5,clust_0
clust_1,clust_1
clust_7,clust_0
clust_0,clust_3
clust_1,clust_0
clust_0,clust_0
clust_0,clust_5
clust_1,clust_3
clust_0,clust_3
clust_2,clust_0
clust_5,clust_6
clust_2,clust_0
clust_1,clust_3
clust_1,clust_3
clust_2,clust_1
clust_1,clust_3
clust_5,clust_4
clust_1,clust_5
clust_1,clust_0
clust_7,clust_3
clust_1,clust_3
clust_1,clust_4
clust_1,clust_0
clust_1,clust_1
clust_0,clust_0
clust_7,clust_0
clust_7,clust_5
clust_1,clust_3
clust_7,clust_4
clust_0,clust_0
clust_1,clust_1
clust_1,clust_1
clust_7,clust_1
clust_0,clust_1
clust_2,clust_0
clust_7,clust_0
clust_0,clust_0
clust_7,clust_0
clust_0,clust_0
clust_0,clust_4
clust_1,clust_1
clust_7,clust_0
clust_1,clust_1
clust_1,clust_1
clust_2,clust_0
clust_0,clust_6
clust_5,clust_6
clust_0,clust_4
clust_2,clust_4
clust_0,clust_4
clust_0,clust_0
clust_1,clust_3
clust_0,clust_6
clust_0,clust_3
clust_7,clust_0
clust_7,clust_5
clust_0,clust_3
clust_0,clust_4
clust_1,clust_1
clust_7,clust_5
clust_1,clust_3
clust_5,clust_5
clust_0,clust_5
clust_5,clust_4
clust_7,clust_5
clust_1,clust_1
clust_1,clust_3
clust_6,clust_4
clust_7,clust_5
clust_4,clust_4
clust_0,clust_1
clust_1,clust_1
clust_1,clust_1
clust_1,clust_0
clust_7,clust_4
clust_6,clust_6
clust_0,clust_6
clust_1,clust_1
clust_1,clust_5
clust_2,clust_0
clust_1,clust_0
clust_2,clust_1
clust_5,clust_6
clust_7,clust_3
clust_5,clust_3
clust_7,clust_3
clust_5,clust_0
clust_0,clust_4
clust_1,clust_1
clust_7,clust_0
clust_2,clust_1
clust_6,clust_5
clust_5,clust_0
clust_6,clust_6
clust_7,clust_3
clust_7,clust_5
clust_1,clust_1
clust_1,clust_0
clust_0,clust_3
clust_1,clust_1
clust_0,clust_5
clust_6,clust_0
clust_1,clust_3
clust_1,clust_3
clust_1,clust_0
clust_7,clust_0
clust_7,clust_0
clust_1,clust_5
clust_1,clust_5
clust_2,clust_0
clust_4,clust_0
clust_0,clust_0
clust_0,clust_4
clust_1,clust_4
clust_1,clust_5
clust_7,clust_4
clust_2,clust_3
clust_7,clust_1
clust_7,clust_3
clust_1,clust_0
clust_2,clust_6
clust_0,clust_4
clust_1,clust_5
clust_4,clust_4
clust_1,clust_0
clust_1,clust_0
clust_0,clust_0
clust_0,clust_1
clust_1,clust_6
clust_1,clust_3
clust_7,clust_1
clust_7,clust_0
clust_1,clust_1
clust_6,clust_5
clust_4,clust_4
clust_7,clust_4
clust_1,clust_4
clust_5,clust_2
clust_1,clust_3
clust_4,clust_5
clust_1,clust_1
clust_2,clust_0
clust_5,clust_0
clust_1,clust_5
clust_7,clust_0
clust_7,clust_6
clust_1,clust_1
clust_0,clust_1
clust_7,clust_0
clust_7,clust_4
clust_4,clust_4
clust_7,clust_0
clust_0,clust_0
clust_7,clust_1
clust_1,clust_1
clust_1,clust_6
clust_1,clust_3
clust_4,clust_0
clust_7,clust_0
clust_7,clust_1
clust_5,clust_5
clust_1,clust_3
clust_2,clust_3
clust_0,clust_1
clust_7,clust_1
clust_1,clust_3
clust_0,clust_6
clust_1,clust_0
clust_1,clust_4
clust_1,clust_3
clust_1,clust_1
clust_5,clust_4
clust_0,clust_0
clust_6,clust_6
clust_0,clust_6
clust_2,clust_4
clust_5,clust_7
clust_0,clust_0
clust_2,clust_0
clust_7,clust_1
clust_6,clust_2
clust_7,clust_1
clust_0,clust_4
clust_5,clust_3
clust_0,clust_0
clust_1,clust_6
clust_1,clust_0
clust_4,clust_4
clust_0,clust_3
clust_0,clust_2
clust_1,clust_3
clust_2,clust_0
clust_0,clust_6
clust_7,clust_3
clust_5,clust_4
clust_2,clust_1
clust_0,clust_5
clust_1,clust_0
clust_5,clust_2
clust_2,clust_3
clust_0,clust_4
clust_7,clust_3
clust_4,clust_5
clust_1,clust_1
clust_7,clust_4
clust_1,clust_0
clust_1,clust_1
clust_5,clust_6
clust_7,clust_0
clust_7,clust_5
clust_7,clust_0
clust_7,clust_1
clust_7,clust_3
clust_4,clust_0
clust_0,clust_2
clust_1,clust_5
clust_1,clust_1
clust_7,clust_3
clust_0,clust_3
clust_0,clust_0
clust_7,clust_5
clust_7,clust_3
clust_1,clust_1
clust_0,clust_2
clust_5,clust_2
clust_1,clust_3
clust_0,clust_1
clust_7,clust_1
clust_0,clust_1
clust_7,clust_0
clust_1,clust_1
clust_5,clust_0
clust_7,clust_1
clust_7,clust_0
clust_1,clust_0
clust_7,clust_3
clust_2,clust_3
clust_0,clust_1
clust_1,clust_1
clust_2,clust_1
clust_1,clust_5
clust_0,clust_5
clust_7,clust_5
clust_7,clust_0
clust_0,clust_0
clust_7,clust_5
clust_0,clust_0
clust_6,clust_4
clust_6,clust_2
clust_0,clust_5
clust_7,clust_4
clust_1,clust_4
clust_0,clust_1
clust_6,clust_4
clust_7,clust_6
clust_2,clust_4
clust_1,clust_3
clust_2,clust_3
clust_1,clust_3
clust_7,clust_5
clust_1,clust_1
clust_4,clust_3
clust_5,clust_2
clust_5,clust_4
clust_0,clust_3
clust_7,clust_5
clust_5,clust_2
clust_0,clust_2
clust_7,clust_2
clust_7,clust_4
clust_1,clust_3
clust_7,clust_1
clust_1,clust_1
clust_7,clust_2
clust_7,clust_0
clust_7,clust_3
clust_0,clust_4
clust_1,clust_1
clust_7,clust_3
clust_2,clust_4
clust_1,clust_1
clust_0,clust_5
clust_1,clust_0
clust_0,clust_2
clust_5,clust_4
clust_0,clust_3
clust_0,clust_2
clust_1,clust_5
clust_7,clust_3
clust_7,clust_4
clust_0,clust_0
clust_5,clust_4
clust_6,clust_0
clust_4,clust_0
clust_1,clust_0
clust_0,clust_4
clust_1,clust_3
clust_7,clust_0
clust_4,clust_2
clust_1,clust_1
clust_7,clust_1
clust_0,clust_0
clust_4,clust_4
clust_4,clust_0
clust_2,clust_0
clust_1,clust_3
clust_7,clust_3
clust_1,clust_5
clust_1,clust_0
clust_1,clust_0
clust_4,clust_4
clust_2,clust_3
clust_1,clust_0
clust_1,clust_5
clust_1,clust_3
clust_4,clust_1
clust_1,clust_5
clust_0,clust_5
clust_0,clust_3
clust_1,clust_3
clust_7,clust_3
clust_2,clust_0
clust_1,clust_1
clust_0,clust_3
clust_4,clust_0
clust_7,clust_0
clust_1,clust_0
clust_1,clust_0
clust_0,clust_0
clust_1,clust_3
clust_1,clust_0
clust_1,clust_3
clust_4,clust_5
clust_7,clust_1
clust_2,clust_4
clust_7,clust_4
clust_2,clust_4
clust_4,clust_4
clust_1,clust_3
clust_1,clust_1
clust_4,clust_4
clust_1,clust_0
clust_5,clust_2
clust_1,clust_1
clust_0,clust_6
clust_0,clust_5
clust_0,clust_0
clust_7,clust_3
clust_0,clust_3
clust_1,clust_3
clust_5,clust_0
clust_6,clust_6
clust_1,clust_1
clust_0,clust_0
clust_6,clust_4
clust_1,clust_3
clust_1,clust_0
clust_7,clust_0
clust_1,clust_5
clust_1,clust_0
clust_2,clust_4
clust_4,clust_4
clust_5,clust_5
clust_1,clust_6
clust_1,clust_5
clust_1,clust_5
clust_7,clust_1
clust_1,clust_1
clust_0,clust_0
clust_1,clust_3
clust_2,clust_4
clust_1,clust_1
clust_7,clust_3
clust_7,clust_4
clust_7,clust_3
clust_6,clust_5
clust_0,clust_0
clust_2,clust_6
clust_5,clust_3
clust_2,clust_0
clust_7,clust_5
clust_1,clust_0
clust_6,clust_4
clust_7,clust_4
clust_4,clust_0
clust_1,clust_0
clust_6,clust_6
clust_1,clust_5
clust_5,clust_0
clust_1,clust_1
clust_0,clust_0
clust_1,clust_4
clust_1,clust_3
clust_5,clust_4
clust_5,clust_2
clust_2,clust_0
clust_7,clust_3
clust_6,clust_6
clust_6,clust_0
clust_1,clust_3
clust_1,clust_3
clust_0,clust_0
clust_0,clust_5
clust_4,clust_4
clust_7,clust_4
clust_1,clust_3
clust_1,clust_0
clust_4,clust_4
clust_0,clust_4
clust_2,clust_5
clust_1,clust_1
clust_6,clust_0
clust_1,clust_3
clust_5,clust_0
clust_0,clust_1
clust_1,clust_1
clust_0,clust_4
clust_7,clust_4
clust_2,clust_3
clust_1,clust_1
clust_1,clust_0
clust_0,clust_5
clust_2,clust_0
clust_0,clust_5
clust_0,clust_4
clust_7,clust_5
clust_1,clust_3
clust_1,clust_1
clust_7,clust_5
clust_1,clust_0
clust_2,clust_1
clust_2,clust_4
clust_0,clust_0
clust_1,clust_1
clust_1,clust_3
clust_2,clust_1
clust_1,clust_3
clust_7,clust_5
clust_1,clust_1
clust_1,clust_5
clust_0,clust_1
clust_7,clust_3
clust_0,clust_5
clust_0,clust_3
clust_0,clust_4
clust_4,clust_0
clust_4,clust_0
clust_5,clust_3
clust_6,clust_0
clust_1,clust_1
clust_1,clust_1
clust_7,clust_0
clust_1,clust_1
clust_1,clust_0
clust_6,clust_4
clust_2,clust_4
clust_5,clust_5
clust_7,clust_4
clust_1,clust_5
clust_7,clust_1
clust_1,clust_5
clust_4,clust_4
clust_1,clust_1
clust_0,clust_1
clust_7,clust_0
clust_5,clust_5
clust_6,clust_6
clust_4,clust_4
clust_7,clust_0
clust_4,clust_0
clust_7,clust_1
clust_1,clust_3
clust_0,clust_1
clust_7,clust_1
clust_7,clust_0
clust_0,clust_5
clust_0,clust_5
clust_2,clust_0
clust_7,clust_0
clust_5,clust_2
clust_6,clust_0
clust_7,clust_3
clust_1,clust_5
clust_0,clust_5
clust_1,clust_5
clust_7,clust_4
clust_4,clust_6
clust_1,clust_1
clust_0,clust_4
clust_6,clust_2
clust_1,clust_0
clust_1,clust_3
clust_5,clust_3
clust_7,clust_0
clust_2,clust_3
clust_2,clust_3
clust_3,clust_6
clust_1,clust_3
clust_7,clust_4
clust_6,clust_0
clust_0,clust_0
clust_0,clust_6
clust_4,clust_3
clust_1,clust_3
clust_2,clust_5
clust_6,clust_4
clust_1,clust_1
clust_7,clust_3
clust_1,clust_1
clust_7,clust_0
clust_1,clust_3
clust_2,clust_0
clust_7,clust_3
clust_1,clust_1
clust_1,clust_0
clust_0,clust_0
clust_7,clust_0
clust_0,clust_0
clust_1,clust_4
clust_1,clust_5
clust_1,clust_5
clust_0,clust_0
clust_1,clust_3
clust_0,clust_4
clust_5,clust_6
clust_1,clust_3
clust_0,clust_1
clust_1,clust_3
clust_0,clust_4
clust_4,clust_0
clust_0,clust_5
clust_0,clust_3
clust_5,clust_2
clust_0,clust_4
clust_1,clust_5
clust_5,clust_1
clust_1,clust_1
clust_2,clust_4
clust_0,clust_4
clust_7,clust_3
clust_0,clust_3
clust_2,clust_0
clust_0,clust_5
clust_7,clust_1
clust_0,clust_0
clust_2,clust_2
clust_7,clust_1
clust_0,clust_3
clust_0,clust_5
clust_1,clust_3
clust_7,clust_1
clust_0,clust_5
clust_7,clust_0
clust_6,clust_4
clust_2,clust_4
clust_4,clust_0
clust_7,clust_5
clust_1,clust_3
clust_0,clust_2
clust_5,clust_0
clust_2,clust_4
clust_7,clust_5
clust_0,clust_5
clust_2,clust_3
clust_1,clust_0
clust_1,clust_1
clust_0,clust_4
clust_5,clust_4
clust_0,clust_0
clust_5,clust_0
clust_7,clust_4
clust_1,clust_3
clust_2,clust_4
clust_1,clust_3
clust_7,clust_5
clust_1,clust_1
clust_4,clust_1
clust_1,clust_1
clust_7,clust_3
clust_2,clust_0
clust_1,clust_6
clust_1,clust_1
clust_1,clust_1
clust_0,clust_0
clust_7,clust_5
clust_0,clust_4
clust_0,clust_4
clust_0,clust_3
clust_0,clust_0
clust_7,clust_1
clust_0,clust_1
clust_1,clust_3
clust_7,clust_0
clust_0,clust_4
clust_7,clust_6
clust_1,clust_1
clust_0,clust_0
clust_6,clust_3
clust_7,clust_0
clust_0,clust_4
clust_1,clust_3
clust_1,clust_1
clust_5,clust_4
clust_5,clust_4
clust_0,clust_0
clust_5,clust_6
clust_4,clust_0
clust_1,clust_5
clust_7,clust_5
clust_7,clust_3
clust_7,clust_4
clust_1,clust_0
clust_7,clust_3
clust_1,clust_1
clust_1,clust_1
clust_7,clust_1
clust_0,clust_6
clust_2,clust_4
clust_6,clust_5
clust_2,clust_5
clust_1,clust_1
clust_0,clust_4
clust_4,clust_2
clust_1,clust_1
clust_1,clust_4
clust_0,clust_4
clust_1,clust_3
clust_1,clust_0
clust_2,clust_0
clust_0,clust_6
clust_1,clust_1
clust_0,clust_5
clust_3,clust_2
clust_7,clust_0
clust_2,clust_1
clust_2,clust_6
clust_0,clust_1
clust_5,clust_4
clust_0,clust_5
clust_0,clust_3
clust_7,clust_5
clust_7,clust_3
clust_1,clust_1
clust_1,clust_1
clust_1,clust_1
clust_0,clust_3
clust_2,clust_5
clust_1,clust_1
clust_2,clust_4
clust_0,clust_6
clust_7,clust_1
clust_2,clust_4
clust_2,clust_5
clust_2,clust_6
clust_2,clust_4
clust_4,clust_6
clust_1,clust_1
clust_6,clust_0
clust_0,clust_3
clust_1,clust_1
clust_0,clust_3
clust_0,clust_3
clust_1,clust_1
clust_2,clust_4
clust_5,clust_0
clust_5,clust_3
clust_1,clust_1
clust_5,clust_5
clust_1,clust_3
clust_7,clust_1
clust_7,clust_5
clust_0,clust_0
clust_1,clust_3
clust_1,clust_5
clust_7,clust_4
clust_7,clust_1
clust_7,clust_4
clust_2,clust_3
clust_2,clust_1
clust_2,clust_1
clust_7,clust_0
clust_2,clust_4
clust_1,clust_5
clust_6,clust_0
clust_4,clust_0
clust_0,clust_3
clust_2,clust_5
clust_2,clust_3
clust_7,clust_6
clust_1,clust_0
clust_3,clust_3
clust_7,clust_6
clust_1,clust_3
clust_7,clust_0
clust_0,clust_6
clust_7,clust_5
clust_1,clust_1
clust_1,clust_5
clust_7,clust_1
clust_0,clust_5
clust_0,clust_3
clust_1,clust_3
clust_1,clust_1
clust_0,clust_4
clust_0,clust_1
clust_7,clust_4
clust_0,clust_0
clust_0,clust_0
clust_0,clust_0
clust_1,clust_5
clust_1,clust_0
clust_0,clust_5
clust_0,clust_1
clust_7,clust_1
clust_7,clust_0
clust_1,clust_1
clust_1,clust_1
clust_5,clust_4
clust_6,clust_0
clust_5,clust_0
clust_1,clust_3
clust_0,clust_0
clust_2,clust_3
clust_1,clust_5
clust_0,clust_1
clust_0,clust_3
clust_2,clust_0
clust_0,clust_3
clust_5,clust_2
clust_7,clust_0
clust_4,clust_0
clust_2,clust_4
clust_5,clust_3
clust_4,clust_0
clust_0,clust_0
clust_1,clust_1
clust_7,clust_1
clust_0,clust_3
clust_0,clust_3
clust_7,clust_0
clust_0,clust_4
clust_0,clust_3
clust_5,clust_6
clust_2,clust_5
clust_4,clust_4
clust_0,clust_6
clust_0,clust_3
clust_7,clust_0
clust_7,clust_5
clust_0,clust_3
clust_3,clust_6
clust_0,clust_1
clust_4,clust_0
clust_0,clust_3
clust_7,clust_3
clust_1,clust_1
clust_7,clust_4
clust_0,clust_4
clust_0,clust_0
clust_6,clust_6
clust_7,clust_0
clust_7,clust_1
clust_1,clust_3
clust_4,clust_0
clust_1,clust_1
clust_1,clust_3
clust_1,clust_3
clust_6,clust_0
clust_1,clust_3
clust_5,clust_0
clust_1,clust_5
clust_1,clust_5
clust_7,clust_3
clust_0,clust_1
clust_4,clust_4
clust_5,clust_4
clust_1,clust_0
clust_2,clust_5
clust_0,clust_0
clust_7,clust_3
clust_7,clust_3
clust_2,clust_4
clust_0,clust_1
clust_2,clust_4
clust_0,clust_0
clust_7,clust_5
clust_4,clust_0
clust_7,clust_2
clust_0,clust_0
clust_7,clust_3
clust_1,clust_5
clust_0,clust_0
clust_1,clust_1
clust_1,clust_1
clust_4,clust_3
clust_7,clust_4
clust_7,clust_3
clust_6,clust_0
clust_4,clust_0
clust_1,clust_5
clust_2,clust_0
clust_7,clust_0
clust_0,clust_0
clust_1,clust_0
clust_0,clust_3
clust_7,clust_1
clust_7,clust_3
clust_0,clust_0
clust_1,clust_5
clust_2,clust_4
clust_3,clust_1
clust_0,clust_0
clust_7,clust_5
clust_2,clust_3
clust_4,clust_0
clust_7,clust_0
clust_0,clust_5
clust_4,clust_5
clust_0,clust_4
clust_2,clust_0
clust_0,clust_2
clust_6,clust_6
clust_1,clust_0
clust_2,clust_5
clust_2,clust_5
clust_2,clust_0
clust_1,clust_4
clust_7,clust_0
clust_7,clust_1
clust_1,clust_1
clust_0,clust_3
clust_0,clust_4
clust_0,clust_0
clust_1,clust_1
clust_1,clust_3
clust_1,clust_0
clust_1,clust_1
clust_2,clust_5
clust_1,clust_5
clust_7,clust_5
clust_7,clust_0
clust_0,clust_3
clust_1,clust_5
clust_1,clust_5
clust_0,clust_3
clust_1,clust_1
clust_6,clust_6
clust_1,clust_1
clust_5,clust_6
clust_7,clust_5
clust_0,clust_3
clust_0,clust_1
clust_7,clust_3
clust_0,clust_4
clust_7,clust_5
clust_5,clust_6
clust_6,clust_0
clust_0,clust_5
clust_1,clust_0
clust_7,clust_3
clust_5,clust_5
clust_0,clust_3
clust_4,clust_5
clust_4,clust_6
clust_1,clust_0
clust_1,clust_0
clust_1,clust_1
clust_7,clust_5
clust_4,clust_6
clust_7,clust_3
clust_7,clust_0
clust_7,clust_5
clust_0,clust_0
clust_7,clust_0
clust_0,clust_0
clust_2,clust_4
clust_5,clust_6
clust_2,clust_4
clust_1,clust_1
clust_1,clust_5
clust_1,clust_1
clust_7,clust_3
clust_0,clust_1
clust_1,clust_0
clust_2,clust_3
clust_0,clust_3
clust_0,clust_0
clust_0,clust_4
clust_1,clust_1
clust_7,clust_4
clust_1,clust_5
clust_6,clust_4
clust_1,clust_3
clust_7,clust_0
clust_0,clust_0
clust_7,clust_1
clust_1,clust_1
clust_7,clust_1
clust_1,clust_0
clust_6,clust_0
clust_5,clust_0
clust_1,clust_5
clust_6,clust_4
clust_3,clust_6
clust_7,clust_5
clust_2,clust_5
clust_6,clust_2
clust_7,clust_3
clust_7,clust_0
clust_1,clust_1
clust_1,clust_3
clust_0,clust_0
clust_0,clust_0
clust_6,clust_1
clust_0,clust_2
clust_0,clust_5
clust_6,clust_6
clust_2,clust_6
clust_5,clust_0
clust_1,clust_5
clust_7,clust_0
clust_5,clust_7
clust_4,clust_6
clust_1,clust_0
clust_1,clust_1
clust_5,clust_0
clust_7,clust_0
clust_1,clust_3
clust_1,clust_3
clust_2,clust_3
clust_1,clust_1
clust_0,clust_1
clust_2,clust_3
clust_1,clust_1
clust_1,clust_1
clust_7,clust_0
clust_0,clust_3
clust_1,clust_0
clust_1,clust_4
clust_6,clust_4
clust_7,clust_1
clust_0,clust_3
clust_5,clust_0
clust_1,clust_1
clust_1,clust_1
clust_2,clust_5
clust_7,clust_3
clust_7,clust_5
clust_7,clust_3
clust_0,clust_2
clust_7,clust_5
clust_1,clust_1
clust_1,clust_1
clust_0,clust_3
clust_1,clust_3
clust_0,clust_4
clust_7,clust_5
clust_7,clust_0
clust_2,clust_5
clust_7,clust_3
clust_2,clust_3
clust_7,clust_1
clust_7,clust_0
clust_1,clust_5
clust_0,clust_3
clust_0,clust_0
clust_7,clust_0
clust_0,clust_0
clust_1,clust_3
clust_5,clust_3
clust_0,clust_1
clust_1,clust_0
clust_1,clust_1
clust_7,clust_1
clust_7,clust_0
clust_7,clust_5
clust_1,clust_5
clust_2,clust_0
clust_0,clust_3
clust_7,clust_0
clust_2,clust_0
clust_2,clust_3
clust_7,clust_3
clust_1,clust_1
clust_0,clust_6
clust_1,clust_1
clust_7,clust_5
clust_4,clust_5
clust_2,clust_4
clust_0,clust_0
clust_0,clust_3
clust_4,clust_4
clust_0,clust_1
clust_7,clust_0
clust_1,clust_4
clust_0,clust_4
clust_7,clust_5
clust_4,clust_4
clust_7,clust_5
clust_0,clust_0
clust_1,clust_3
clust_0,clust_6
clust_1,clust_5
clust_1,clust_2
clust_7,clust_0
clust_2,clust_6
clust_7,clust_3
clust_1,clust_0
clust_4,clust_0
clust_1,clust_1
clust_2,clust_0
clust_4,clust_4
clust_1,clust_1
clust_7,clust_6
clust_1,clust_3
clust_1,clust_1
clust_1,clust_3
clust_5,clust_0
clust_1,clust_0
clust_0,clust_5
clust_4,clust_6
clust_1,clust_4
clust_2,clust_0
clust_0,clust_0
clust_7,clust_5
clust_7,clust_5
clust_1,clust_1
clust_5,clust_4
clust_7,clust_5
clust_7,clust_5
clust_1,clust_3
clust_1,clust_0
clust_2,clust_5
clust_7,clust_1
clust_7,clust_5
clust_7,clust_4
clust_0,clust_1
clust_7,clust_5
clust_7,clust_1
clust_0,clust_4
clust_0,clust_3
clust_2,clust_5
clust_0,clust_4
clust_1,clust_5
clust_2,clust_6
clust_1,clust_1
clust_5,clust_0
clust_6,clust_3
clust_2,clust_4
clust_2,clust_1
clust_4,clust_5
clust_0,clust_0
clust_5,clust_0
clust_1,clust_5
clust_1,clust_3
clust_1,clust_1
clust_7,clust_5
clust_7,clust_5
clust_0,clust_1
clust_1,clust_3
clust_7,clust_0
clust_7,clust_5
clust_0,clust_0
clust_0,clust_5
clust_6,clust_4
clust_7,clust_3
clust_0,clust_6
clust_0,clust_0
clust_0,clust_4
clust_0,clust_6
clust_7,clust_0
clust_4,clust_6
clust_7,clust_6
clust_1,clust_3
clust_5,clust_6
clust_7,clust_3
clust_5,clust_0
clust_1,clust_0
clust_0,clust_1
clust_7,clust_1
clust_0,clust_3
clust_1,clust_0
clust_1,clust_3
clust_2,clust_6
clust_0,clust_5
clust_1,clust_1
clust_6,clust_0
clust_7,clust_4
clust_7,clust_5
clust_0,clust_0
clust_7,clust_3
clust_1,clust_0
clust_6,clust_0
clust_0,clust_3
clust_7,clust_1
clust_4,clust_7
clust_1,clust_1
clust_0,clust_0
clust_2,clust_6
clust_1,clust_1
clust_5,clust_4
clust_2,clust_4
clust_4,clust_4
clust_0,clust_0
clust_7,clust_1
clust_7,clust_4
clust_1,clust_1
clust_7,clust_5
clust_5,clust_0
clust_5,clust_0
clust_7,clust_1
clust_6,clust_4
clust_5,clust_4
clust_7,clust_0
clust_6,clust_5
clust_2,clust_0
clust_1,clust_0
clust_0,clust_1
clust_4,clust_4
clust_1,clust_0
clust_1,clust_5
clust_1,clust_5
clust_1,clust_1
clust_6,clust_6
clust_0,clust_1
clust_7,clust_1
clust_1,clust_5
clust_5,clust_4
clust_1,clust_1
clust_0,clust_0
clust_2,clust_3
clust_4,clust_4
clust_1,clust_1
clust_7,clust_0
clust_1,clust_3
clust_0,clust_3
clust_4,clust_0
clust_1,clust_1
clust_0,clust_0
clust_7,clust_1
clust_0,clust_5
clust_1,clust_5
clust_7,clust_5
clust_1,clust_3
clust_1,clust_1
clust_3,clust_4
clust_0,clust_5
clust_7,clust_3
clust_2,clust_0
clust_0,clust_0
clust_2,clust_0
clust_7,clust_5
clust_7,clust_0
clust_0,clust_5
clust_1,clust_3
clust_0,clust_1
clust_1,clust_1
clust_5,clust_4
clust_1,clust_0
clust_0,clust_1
clust_2,clust_4
clust_4,clust_0
clust_7,clust_3
clust_4,clust_2
clust_0,clust_0
clust_7,clust_1
clust_0,clust_3
clust_2,clust_0
clust_1,clust_5
clust_4,clust_0
clust_4,clust_5
clust_1,clust_5
clust_6,clust_0
clust_5,clust_2
clust_0,clust_0
clust_7,clust_4
clust_6,clust_0
clust_7,clust_0
clust_7,clust_5
clust_5,clust_6
clust_1,clust_0
clust_3,clust_6
clust_0,clust_4
clust_0,clust_0
clust_0,clust_6
clust_1,clust_5
clust_1,clust_1
clust_7,clust_0
clust_7,clust_3
clust_7,clust_3
clust_2,clust_3
clust_5,clust_6
clust_7,clust_0
clust_7,clust_3
clust_7,clust_4
clust_1,clust_1
clust_7,clust_3
clust_7,clust_0
clust_7,clust_3
clust_1,clust_1
clust_1,clust_3
clust_2,clust_5
clust_7,clust_0
clust_7,clust_5
clust_0,clust_6
clust_7,clust_0
clust_2,clust_0
clust_1,clust_4
clust_1,clust_3
clust_2,clust_5
clust_6,clust_6
clust_1,clust_5
clust_0,clust_5
clust_4,clust_0
clust_2,clust_3
clust_0,clust_1
clust_0,clust_1
clust_0,clust_4
clust_7,clust_0
clust_0,clust_4
clust_5,clust_4
clust_0,clust_0
clust_2,clust_0
clust_1,clust_1
clust_1,clust_3
clust_1,clust_3
clust_1,clust_3
clust_1,clust_5
clust_1,clust_0
clust_1,clust_1
clust_7,clust_1
clust_7,clust_5
clust_2,clust_4
clust_1,clust_3
clust_7,clust_0
clust_3,clust_4
clust_7,clust_1
clust_7,clust_0
clust_7,clust_4
clust_1,clust_1
clust_0,clust_1
clust_2,clust_0
clust_6,clust_6
clust_0,clust_5
clust_1,clust_3
clust_2,clust_4
clust_7,clust_1
clust_1,clust_3
clust_6,clust_4
clust_1,clust_0
clust_1,clust_3
clust_7,clust_4
clust_7,clust_0
